Id,RecipeId
1,1
2,1
3,2
4,2
5,2
6,3
7,3
8,3
9,4
10,4
11,5
12,5
13,6
14,6
15,7
16,7
17,8
18,8
19,8
20,9
21,9
22,9
23,10
24,10
25,11
26,11
27,11
28,12
29,12
30,12
31,13
32,13
33,14
34,14
35,15
36,15
37,16
38,16
39,17
40,17
41,18
42,18
43,19
44,19
45,20
46,20
47,20
48,21
49,21
50,21
51,22
52,22
53,23
54,23
55,23
56,24
57,24
58,24
59,25
60,25
61,25
62,26
63,26
64,27
65,27
66,27
67,28
68,28
69,28
70,29
71,30
72,31
73,32
74,33
75,34
76,35
77,36
78,36
79,36
80,37
81,37
82,37
83,38
84,38
85,39
86,39
87,40
88,40
89,41
90,41
91,42
92,42
93,43
94,43
95,44
96,44
97,45
98,45
99,45
100,46
101,46
102,46
103,47
104,47
105,48
106,48
107,48
108,49
109,49
110,49
111,50
112,50
113,51
114,51
115,51
116,52
117,52
118,52
119,53
120,54
121,54
122,55
123,55
124,55
125,56
126,56
127,56
128,57
129,57
130,58
131,58
132,58
133,59
134,59
135,59
136,60
137,60
138,60
139,61
140,61
141,61
142,62
143,62
144,62
145,63
146,64
147,65
148,66
149,66
150,67
151,67
152,68
153,68
154,69
155,69
156,70
157,70
158,71
159,71
160,72
161,73
162,73
163,74
164,74
165,74
166,75
167,75
168,76
169,76
170,76
171,77
172,77
173,77
174,78
175,78
176,79
177,79
178,79
179,80
180,80
181,80
182,81
183,81
184,82
185,82
186,82
187,83
188,83
189,83
190,84
191,84
192,85
193,85
194,85
195,86
196,86
197,86
198,87
199,88
200,89
201,90
202,91
203,92
204,93
205,93
206,93
207,94
208,94
209,95
210,95
211,96
212,96
213,97
214,97
215,98
216,98
217,98
218,99
219,99
220,99
221,100
222,100
223,101
224,101
225,102
226,102
227,103
228,103
229,104
230,104
231,104
232,105
233,105
234,105
235,106
236,106
237,107
238,107
239,107
240,108
241,108
242,108
243,109
244,110
245,111
246,112
247,112
248,113
249,113
250,114
251,114
252,115
253,115
254,116
255,116
256,117
257,117
258,117
259,118
260,118
261,118
262,119
263,119
264,120
265,120
266,120
267,121
268,121
269,121
270,122
271,122
272,122
273,123
274,123
275,123
276,124
277,124
278,124
279,125
280,125
281,125
282,126
283,127
284,128
285,129
286,130
287,131
288,131
289,131
290,132
291,132
292,133
293,133
294,134
295,134
296,135
297,135
298,136
299,136
300,137
301,137
302,138
303,138
304,139
305,139
306,140
307,140
308,141
309,141
310,142
311,142
312,142
313,143
314,143
315,143
316,144
317,144
318,144
319,145
320,145
321,145
322,146
323,146
324,147
325,147
326,147
327,148
328,148
329,148
330,149
331,150
332,151
333,152
334,152
335,153
336,153
337,153
338,154
339,154
340,154
341,155
342,155
343,156
344,156
345,156
346,157
347,157
348,157
349,158
350,158
351,158
352,159
353,159
354,159
355,160
356,160
357,160
358,161
359,161
360,162
361,162
362,162
363,163
364,163
365,163
366,164
367,164
368,165
369,165
370,166
371,166
372,167
373,167
374,167
375,168
376,169
377,170
378,171
379,172
380,173
381,174
382,175
383,176
384,177
385,178
386,179
387,180
388,181
389,182
390,183
391,184
392,185
393,186
394,187
395,187
396,188
397,188
398,189
399,189
400,190
401,190
402,190
403,191
404,191
405,192
406,192
407,193
408,193
409,194
410,194
411,195
412,195
413,196
414,196
415,197
416,197
417,197
418,197
419,198
420,198
421,199
422,199
423,199
424,200
425,200
426,200
427,201
428,201
429,201
430,202
431,202
432,202
433,203
434,203
435,203
436,204
437,204
438,204
439,205
440,205
441,206
442,206
443,206
444,207
445,207
446,207
447,208
448,208
449,209
450,209
451,209
452,210
453,210
454,210
455,211
456,211
457,212
458,212
459,213
460,213
461,214
462,214
463,215
464,215
465,216
466,216
467,217
468,217
469,217
470,218
471,218
472,218
473,219
474,219
475,219
476,220
477,220
478,220
479,221
480,221
481,222
482,222
483,222
484,223
485,223
486,223
487,224
488,225
489,225
490,226
491,226
492,227
493,227
494,227
495,228
496,228
497,228
498,229
499,229
500,230
501,230
502,230
503,231
504,231
505,231
506,232
507,232
508,233
509,233
510,233
511,234
512,234
513,234
514,235
515,235
516,236
517,236
518,236
519,237
520,237
521,237
522,238
523,238
524,239
525,239
526,239
527,240
528,240
529,240
530,241
531,241
532,242
533,242
534,242
535,243
536,243
537,243
538,244
539,244
540,245
541,245
542,245
543,246
544,246
545,246
546,247
547,248
548,248
549,249
550,249
551,249
552,250
553,250
554,251
555,251
556,251
557,252
558,252
559,252
560,253
561,253
562,254
563,254
564,254
565,255
566,255
567,255
568,256
569,256
570,257
571,257
572,257
573,258
574,258
575,258
576,259
577,259
578,259
579,260
580,260
581,260
582,261
583,261
584,261
585,262
586,262
587,262
588,263
589,264
590,265
591,266
592,266
593,267
594,267
595,268
596,268
597,269
598,269
599,270
600,270
601,270
